INFO 2026-07-08 22:47:50,336 autoreload 10128 9052 Watching for file changes with StatReloader
INFO 2026-07-08 22:48:03,159 log 10128 23140 "GET /static/admin/css/base.css HTTP/1.1" 200 23100
INFO 2026-07-08 22:48:14,393 log 10128 23140 "GET /admin/ HTTP/1.1" 200 6511
INFO 2026-07-08 22:48:14,451 log 10128 23140 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 3538
INFO 2026-07-08 22:48:14,453 log 10128 16472 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2026-07-08 22:48:14,454 log 10128 11368 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-07-08 22:48:14,455 log 10128 22580 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16194
INFO 2026-07-08 22:48:14,466 log 10128 22376 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2026-07-08 22:48:14,489 log 10128 22580 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2026-07-08 22:48:14,493 log 10128 22376 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 593
INFO 2026-07-08 22:48:14,493 log 10128 11368 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 978
INFO 2026-07-08 22:48:20,941 log 10128 11368 "GET /admin/users/user/ HTTP/1.1" 200 13342
INFO 2026-07-08 22:48:21,031 log 10128 11368 "GET /static/admin/css/changelists.css HTTP/1.1" 200 7501
INFO 2026-07-08 22:48:21,038 log 10128 16472 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2026-07-08 22:48:21,060 log 10128 23140 "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2026-07-08 22:48:21,102 log 10128 16872 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2026-07-08 22:48:21,104 log 10128 11368 "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2026-07-08 22:48:21,133 log 10128 22376 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-07-08 22:48:21,143 log 10128 22580 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2026-07-08 22:48:21,147 log 10128 16872 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2026-07-08 22:48:21,157 log 10128 23140 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2026-07-08 22:48:21,175 log 10128 22580 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 558
INFO 2026-07-08 22:48:21,188 log 10128 16872 "GET /static/admin/img/search.svg HTTP/1.1" 200 607
INFO 2026-07-08 22:48:21,210 log 10128 16472 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2026-07-08 22:48:21,225 log 10128 16872 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2026-07-08 22:48:21,255 log 10128 16472 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 928
INFO 2026-07-08 22:48:21,258 log 10128 16872 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 593
INFO 2026-07-08 22:48:29,404 log 10128 16872 "GET /admin/users/user/add/ HTTP/1.1" 200 11542
INFO 2026-07-08 22:48:29,470 log 10128 16472 "GET /static/admin/css/unusable_password_field.css HTTP/1.1" 200 663
INFO 2026-07-08 22:48:29,471 log 10128 16872 "GET /static/admin/css/forms.css HTTP/1.1" 200 8844
